epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4655,1.73319,4.77288,0.9136,0.02676,0.35106,0.02244,0.01098,1.689,4.31794,0.8459,8e-05,8e-05,8e-05
2,25.8726,1.55573,3.52166,0.87673,0.89631,0.78723,0.88648,0.55631,1.40203,3.95297,0.79789,0.00017703,0.00017703,0.00017703
3,32.3027,1.26308,1.337,0.83897,0.92884,0.93617,0.96911,0.57854,1.35909,2.14852,0.78518,0.00027076,0.00027076,0.00027076
4,35.8775,1.15192,0.78439,0.82992,0.93628,0.91489,0.97716,0.55157,1.46989,1.7365,0.79251,0.00036119,0.00036119,0.00036119
5,40.0239,1.22821,0.76446,0.8181,0.97714,0.93617,0.97355,0.59848,1.3787,1.12553,0.78381,0.00044832,0.00044832,0.00044832
6,43.8876,1.25143,0.7085,0.82807,0.96133,0.94681,0.9736,0.48962,1.61748,1.15555,0.79152,0.00053215,0.00053215,0.00053215
7,47.1874,1.17467,0.63444,0.81665,0.59843,0.93538,0.60922,0.38969,1.26469,2.29688,0.77923,0.00061268,0.00061268,0.00061268
8,50.2996,1.14304,0.61666,0.8267,0.6981,0.91489,0.70499,0.42656,1.39898,1.89634,0.78572,0.00068991,0.00068991,0.00068991
9,54.3739,1.21051,0.6496,0.81887,0.8012,0.94328,0.81812,0.47458,1.41098,2.06914,0.78469,0.00076384,0.00076384,0.00076384
10,57.7081,1.0689,0.56339,0.81756,0.98704,0.97872,0.98501,0.61488,1.2802,0.8955,0.77873,0.00083447,0.00083447,0.00083447
11,60.9483,1.08491,0.59065,0.81069,0.99495,0.93617,0.97085,0.61072,1.32428,0.71723,0.78174,0.0009018,0.0009018,0.0009018
12,63.6913,1.1059,0.61405,0.81882,0.98764,0.98936,0.98736,0.54528,1.54391,1.17807,0.79567,0.00096583,0.00096583,0.00096583
13,67.8133,1.13112,0.62737,0.81998,0.9932,0.96809,0.98923,0.538,1.56457,1.15957,0.79053,0.00102656,0.00102656,0.00102656
14,70.8503,1.16431,0.61004,0.81591,0.93827,0.92553,0.97767,0.63471,1.3193,0.72482,0.77945,0.00108399,0.00108399,0.00108399
15,73.998,1.20135,0.60432,0.81473,0.96991,0.92553,0.98832,0.60021,1.41303,0.87528,0.79068,0.00113812,0.00113812,0.00113812
16,76.5626,1.13377,0.54315,0.80534,0.95856,0.95745,0.9886,0.6274,1.28935,0.73197,0.78193,0.00118895,0.00118895,0.00118895
17,80.1251,1.15221,0.52665,0.83287,0.98494,0.95745,0.99079,0.60546,1.43349,0.69004,0.78991,0.00123648,0.00123648,0.00123648
18,83.4492,1.0881,0.53304,0.81019,0.98883,0.9422,0.99025,0.58055,1.52283,0.75451,0.79298,0.00128071,0.00128071,0.00128071
19,86.469,1.11223,0.53151,0.82509,0.98883,0.942,0.98928,0.60474,1.4213,0.6589,0.78433,0.00132164,0.00132164,0.00132164
20,89.7309,1.11577,0.53503,0.81615,0.98889,0.94661,0.98678,0.62775,1.26836,0.64382,0.78246,0.00135927,0.00135927,0.00135927
21,93.4845,1.1373,0.5235,0.82263,0.96394,0.95745,0.98311,0.61169,1.30187,0.71243,0.78237,0.00134,0.00134,0.00134
22,96.7622,1.15338,0.52626,0.80277,0.97847,0.96685,0.98632,0.49832,1.57965,0.73191,0.7938,0.001307,0.001307,0.001307
23,99.4501,1.12549,0.51419,0.81155,0.97459,0.97872,0.98692,0.54379,1.44996,0.68094,0.78337,0.001274,0.001274,0.001274
24,102.318,1.05896,0.49853,0.80632,0.98664,0.96809,0.98616,0.65637,1.23683,0.53647,0.77831,0.001241,0.001241,0.001241
25,106.07,1.10517,0.49923,0.81136,0.98911,0.96636,0.98623,0.66759,1.27105,0.53405,0.78115,0.001208,0.001208,0.001208
26,109.415,1.07066,0.49293,0.81608,0.97798,0.96809,0.98583,0.68406,1.21329,0.53706,0.77804,0.001175,0.001175,0.001175
27,112.472,1.02126,0.48027,0.80053,0.98522,0.96809,0.98689,0.68732,1.17816,0.51763,0.77875,0.001142,0.001142,0.001142
28,115.395,1.01617,0.48613,0.80319,0.98924,0.97836,0.98725,0.65027,1.21837,0.51633,0.77748,0.001109,0.001109,0.001109
29,118.731,1.07806,0.49588,0.81414,0.98932,0.98588,0.98745,0.64952,1.2061,0.51295,0.77696,0.001076,0.001076,0.001076
30,121.876,0.99532,0.47367,0.79996,0.98574,0.98936,0.9873,0.67272,1.18297,0.52702,0.7755,0.001043,0.001043,0.001043
31,124.803,1.01737,0.47627,0.81311,0.98545,0.98936,0.98729,0.65569,1.25768,0.59146,0.78011,0.00101,0.00101,0.00101
32,127.864,1.01376,0.48503,0.81831,0.97514,0.98936,0.9882,0.72545,1.0811,0.49402,0.77387,0.000977,0.000977,0.000977
33,131.463,0.97514,0.45517,0.80489,0.99248,0.95745,0.98759,0.71566,1.12783,0.51616,0.77381,0.000944,0.000944,0.000944
34,134.897,1.01726,0.46987,0.80131,0.96461,0.98936,0.98771,0.67145,1.2471,0.5496,0.77644,0.000911,0.000911,0.000911
35,137.614,0.98132,0.45522,0.80946,0.97791,0.98936,0.98749,0.63424,1.32799,0.57399,0.78243,0.000878,0.000878,0.000878
